N,Initialisation,Algorithm,Initial objective,Best objective,Improvement (%),Runtime (s),Iterations
100,LEH,Threshold Acceptance,77.14133535521435,7.5863904486399605,90.16559615709691,15.000166249985341,2430247
100,LEH,Iterated Local Search,77.14133535521435,9.223817539926236,88.04296361029645,15.001260125020053,14
100,LEH,Iterative Improvement,77.14133535521435,10.626816725313798,86.22422508454089,6.000141917029396,1041
100,NNH,Threshold Acceptance,8.688683234407312,7.691357887169047,11.478440637458652,15.00009508401854,2620545
100,NNH,Iterated Local Search,8.688683234407312,7.956979044230242,8.42134729091643,15.000410916982219,31
100,NNH,Iterative Improvement,8.688683234407312,8.087526128998869,6.918851673955065,0.5288629999849945,24
100,Random,Threshold Acceptance,55.214053385832635,7.865327777782673,85.75484447261965,15.000088624947239,2621975
100,Random,Iterated Local Search,55.214053385832635,9.398077097508267,82.97883143656372,15.00012554100249,16
100,Random,Iterative Improvement,55.214053385832635,10.289539532401562,81.36427430803015,4.685605083010159,743
100,SEH,Threshold Acceptance,8.423549550865635,7.579029428319508,10.025703742187178,15.000108500011265,2627404
100,SEH,Iterated Local Search,8.423549550865635,7.598804902606691,9.790939594748277,15.000182207964826,32
100,SEH,Iterative Improvement,8.423549550865635,7.613245743701629,9.619505438544445,0.7211311249993742,36
200,LEH,Threshold Acceptance,150.3472305761557,11.897909937345103,92.08637904951736,15.00018849998014,2497401
200,LEH,Iterative Improvement,150.3472305761557,59.69251778582542,60.29689568801918,15.00019233400235,824
200,LEH,Iterated Local Search,150.3472305761557,59.70646206266389,60.28762097322395,15.000351499998942,0
200,NNH,Threshold Acceptance,13.094623140510842,11.454231548548599,12.52721498251724,15.000163083022926,2608986
200,NNH,Iterative Improvement,13.094623140510842,12.198604042386204,6.84264899042893,4.927282791992184,61
200,NNH,Iterated Local Search,13.094623140510842,12.198604042386204,6.84264899042893,15.000490458973218,5
200,Random,Threshold Acceptance,105.92510595537468,11.810756453867524,88.84989885321116,15.000159292016178,2602815
200,Random,Iterative Improvement,105.92510595537468,20.75942525787259,80.40178948075034,15.000520417001098,1458
200,Random,Iterated Local Search,105.92510595537468,20.91623056291981,80.25375535453169,15.000663083046675,0
200,SEH,Threshold Acceptance,12.845838187109068,11.509379031485306,10.403829910958345,15.000183666998055,2610881
200,SEH,Iterative Improvement,12.845838187109068,11.60350047462842,9.671130014134434,5.558058458031155,69
200,SEH,Iterated Local Search,12.845838187109068,11.60350047462842,9.671130014134434,15.000241958012339,3
